Potential (V),Capacity (Ah),Current (A)
3.52449628,0.078121526,0.0479940012
3.52472492,0.0781891174,0.047993742
3.52493653,0.0782567088,0.0479938884
3.52516287,0.0783243002,0.0479942148
3.52538304,0.0783918916,0.0479936901
3.52560022,0.078459483,0.0479939982
3.52582962,0.0785270744,0.0479937176
3.52604268,0.0785946658,0.0479938792
3.52627422,0.0786622573,0.0479941385
3.52649323,0.0787298487,0.0479937267
3.52671316,0.0787974401,0.0479941019
3.52694485,0.0788650315,0.0479936871
3.52716074,0.0789326229,0.0479938365
3.52739037,0.0790002143,0.0479941873
3.5276116,0.0790678057,0.0479937664
3.52783489,0.079135397,0.047993989
3.52806795,0.0792029885,0.0479936261
3.52828094,0.0792705799,0.0479939006
3.52851469,0.0793381713,0.0479942361
3.5287363,0.0794057627,0.047993806
3.52895806,0.0794733541,0.0479939524
3.52919197,0.0795409455,0.0479937054
3.52941106,0.0796085369,0.0479938274
3.52964122,0.0796761283,0.0479941568
3.52986581,0.0797437197,0.0479937938
3.53008849,0.0798113112,0.0479940348
3.53032514,0.0798789026,0.0479936322
3.53054263,0.079946494,0.0479938609
3.53077852,0.0800140854,0.04799405
3.53100112,0.0800816768,0.0479938426
3.53122625,0.0801492682,0.0479939463
3.53146076,0.0802168596,0.0479937023
3.53167985,0.080284451,0.0479938335
3.53191353,0.0803520425,0.04799405
3.53213957,0.0804196339,0.0479937755
3.53236423,0.0804872253,0.0479939402
3.53259867,0.0805548167,0.0479936993
3.53282227,0.0806224081,0.0479939036
3.53305594,0.0806899995,0.0479941873
3.53328213,0.080757591,0.0479938304
3.53351008,0.0808251824,0.0479939494
3.53374727,0.0808927738,0.0479936474
3.53396758,0.0809603653,0.0479940165
3.53420568,0.0810279567,0.0479941782
3.53442897,0.0810955481,0.0479938792
3.53465708,0.0811631396,0.047993928
3.53489495,0.081230731,0.0479936901
3.53511648,0.0812983225,0.0479937816
3.5353539,0.0813659139,0.0479942453
3.53557948,0.0814335053,0.0479937847
3.53580773,0.0815010968,0.0479940226
3.53604645,0.0815686882,0.0479936688
3.53626859,0.0816362797,0.0479939341
3.53650692,0.0817038711,0.0479940561
3.53673403,0.0817714625,0.0479938182
3.53696252,0.081839054,0.0479940378
3.53720237,0.0819066454,0.0479937145
3.53742421,0.0819742368,0.0479939433
3.5376643,0.0820418283,0.0479941751
3.53789256,0.0821094197,0.0479937542
3.53812035,0.0821770111,0.047993989
3.5383609,0.0822446025,0.0479936901
3.5385835,0.0823121939,0.0479938914
3.53882046,0.0823797854,0.047994166
3.53905161,0.0824473768,0.0479936261
3.53928078,0.0825149682,0.0479939707
3.53952156,0.0825825596,0.0479937816
3.5397437,0.082650151,0.0479938823
3.53998265,0.0827177424,0.047994108
3.54021365,0.0827853338,0.0479937511
3.54044656,0.0828529252,0.0479939677
3.54068756,0.0829205166,0.0479936383
3.54090902,0.082988108,0.047993803
3.54115201,0.0830556994,0.0479941782
3.54138148,0.0831232908,0.0479937664
3.54161279,0.0831908822,0.0479940043
3.54185425,0.0832584737,0.0479936993
3.54208014,0.0833260651,0.0479938457
3.54232091,0.0833936565,0.0479940775
3.54255009,0.0834612479,0.0479937145
3.54278384,0.0835288393,0.0479939616
3.5430269,0.0835964307,0.0479938213
3.54325027,0.0836640222,0.047993925
3.54349204,0.0837316136,0.0479941446
3.54372243,0.083799205,0.0479938426
3.54395587,0.0838667964,0.0479940104
3.54419932,0.0839343879,0.0479936688
3.54442437,0.0840019793,0.0479939158
3.54466506,0.0840695707,0.0479941782
3.5448963,0.0841371621,0.0479937603
3.54512799,0.0842047536,0.0479940531
3.54537334,0.084272345,0.0479937542
3.54559617,0.0843399365,0.0479938914
3.54583756,0.0844075279,0.0479941965
3.54606917,0.0844751193,0.0479938396
3.54630224,0.0845427108,0.0479940378
3.54654492,0.0846103022,0.0479936383
3.54677104,0.0846778936,0.0479939097
3.54701364,0.084745485,0.0479942361
3.54724526,0.0848130765,0.0479936962
3.54747748,0.0848806679,0.0479940744
3.54772108,0.0849482593,0.0479936444
3.54794636,0.0850158508,0.0479938762
3.54818782,0.0850834422,0.0479942209
