Current(A),Test_Time(s),Voltage(V),Discharge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Discharge_Energy(Wh),Power(W),Downsampled Voltage (V),Downsampled Capacity (Ah),dQ/dV from downsampled Voltage (Ah/V),dV/dQ from downsampled Cpacity (V/Ah),Downsampled Energy (Wh),Downsampled Power (W),dP/dE from downsampled Energy (W/Wh),dQ/dV from LEAN (Ah/V),Delta_V (V) in LEAN
-0.15001,20783.9731,3.997,0.67257,0.0,,2.743,-0.59959,,,,,2.743,-0.59961195804196,0.0160909090909022,2.427437584762769,0.005599999999999999
-0.15002,20843.9738,3.9961,0.67507,,0.0,2.753,-0.59949,,,,,2.753,-0.5994509557109577,0.0163986013985955,2.427437584762769,0.005599999999999999
-0.15001,20903.9736,3.995,0.67757,0.0,2.38070011138916,2.763,-0.59929,,,,,2.763,-0.599283986013988,0.0159557109557155,2.3873373874938237,0.005599999999999999
-0.15001,20963.973,3.994,0.68007,,,2.773,-0.59914,3.994,0.68007,-2.411514350083209,-0.4147878158822493,2.773,-0.5991318414918434,0.0147843822843825,2.3873373874938237,0.005599999999999999
-0.15001,21023.9727,3.9927,0.68258,0.0,0.0,2.783,-0.59894,,,,,2.783,-0.5989882983683004,0.0150151515151506,2.3873373874938237,0.005599999999999999
-0.15002,21083.9728,3.9917,0.68508,,,2.793,-0.59883,,,,,2.793,-0.5988315384615404,0.015666666666668,2.3873373874938237,0.005599999999999999
-0.15002,21143.9741,3.9907,0.68758,0.4114300012588501,2.3134000301361084,2.803,-0.59868,,,,,2.803,-0.598674965034967,0.0157380007096676,2.3873373874938237,0.005599999999999999
-0.15002,21203.9731,3.9898,0.69008,,,2.8129,-0.59855,3.9898,0.69008,-2.321393939393886,-0.4312537491063892,2.8129,-0.5985183682983704,0.0156788588465168,2.3873373874938237,0.005599999999999999
-0.15002,21263.9731,3.9888,0.69258,0.0,0.0,2.8229,-0.5984,,,,,2.8229,-0.5983629836829857,0.0153076923076866,2.3711391088371334,0.005599999999999999
-0.15001,21323.9737,3.9875,0.69508,,,2.8329,-0.59816,,,,,2.8329,-0.5982122144522166,0.0156977191294238,2.3711391088371334,0.005599999999999999
-0.15002,21383.9726,3.9865,0.69758,0.0,0.0,2.8428,-0.59805,3.9865,0.69758,-2.3203463203463883,-0.431428571428512,2.8428,-0.5980507226107246,0.0159435637370854,2.3711391088371334,0.005599999999999999
